,Price,Load_DA_Forecast,Renewables_DA_Forecast
2015-01-08 01:00:00,19.35,44923.8975,15933.56275
2015-01-08 02:00:00,16.11,43815705,16653.13875
2015-01-08 03:00:00,14.93,43962285,17232224
2015-01-08 04:00:00,15.0,44861.3475,17782008
2015-01-08 05:00:00,19.04,47170.7275,18283819
2015-01-08 06:00:00,26.17,51903.4725,18823.5005
2015-01-08 07:00:00,38.34,58271.9475,19178909
2015-01-08 08:00:00,37.7,60746.45,19521735
2015-01-08 09:00:00,32.99,61456.2525,20044.5395
2015-01-08 10:00:00,31.95,62295.6075,20482.45025
2015-01-08 11:00:00,33.59,63733.29,20729.23275
2015-01-08 12:00:00,34.37,63357.7575,20228.56525
2015-01-08 13:00:00,35.08,61195.3125,18889.027000000002
2015-01-08 14:00:00,34.45,60290515,17642644
2015-01-08 15:00:00,38.12,60529.2925,16711.737500000003
2015-01-08 16:00:00,32.47,61036.44,16166.08225
2015-01-08 17:00:00,36.49,63836.4,16380.70125
2015-01-08 18:00:00,31.82,64304555,17228.6175
2015-01-08 19:00:00,32.93,62821.1425,18028.7055
2015-01-08 20:00:00,29.44,58974.7825,18506.8975
2015-01-08 21:00:00,28.62,55575.9325,19140875
2015-01-08 22:00:00,26.71,53694.34,19771.9275
2015-01-08 23:00:00,15.93,49908.0375,20109255
2015-01-09 00:00:00,11.55,46623.31,20834.36775
2015-01-09 01:00:00,13.47,45326.8525,21486.78525
2015-01-09 02:00:00,11.23,44308295,21873849
2015-01-09 03:00:00,9.37,44619375,22707344
2015-01-09 04:00:00,10.33,46196.0225,24106.47125
2015-01-09 05:00:00,10.57,48376.05,25670.4225
2015-01-09 06:00:00,20.08,53387.8325,27086.1445
2015-01-09 07:00:00,34.24,60045.42,28435892
2015-01-09 08:00:00,29.99,62847.0375,29626.24325
2015-01-09 09:00:00,28.33,63250.12,30853.81825
2015-01-09 10:00:00,28.51,63638.7825,32224.406000000003
2015-01-09 11:00:00,31.69,64733275,32832.503249999994
2015-01-09 12:00:00,31.11,63920.0275,32654627
2015-01-09 13:00:00,29.95,61498.5575,31996.1085
2015-01-09 14:00:00,29.17,60899.8475,31261.04625
2015-01-09 15:00:00,29.47,60830.02,30455.622499999998
2015-01-09 16:00:00,30.09,61308.53,29923.2535
2015-01-09 17:00:00,33.47,63877.2725,29228146
2015-01-09 18:00:00,32.78,64149.01,28016.3975
2015-01-09 19:00:00,33.47,62803195,26278062
2015-01-09 20:00:00,30.11,59255.0875,24256045
2015-01-09 21:00:00,26.69,55099.92,23062.0375
2015-01-09 22:00:00,21.64,52338.4675,22431.81
2015-01-09 23:00:00,14.72,50093855,22100.28
2015-01-10 00:00:00,17.1,47723.16,21644.78825
2015-01-10 01:00:00,12.93,46463.9525,18570.25875
2015-01-10 02:00:00,13.7,45167.1625,19336.22175
2015-01-10 03:00:00,11.01,45024695,20665934
2015-01-10 04:00:00,9.08,45633.16,21949249
2015-01-10 05:00:00,9.28,45378.87,23717.75175
2015-01-10 06:00:00,7.19,45735995,25649.52625
2015-01-10 07:00:00,9.31,48758355,27135.1705
2015-01-10 08:00:00,11.35,52160595,28773.54325
2015-01-10 09:00:00,15.87,55057575,30490.653749999998
2015-01-10 10:00:00,15.84,56622525,32292915
2015-01-10 11:00:00,14.83,58080.2525,33522.46625
2015-01-10 12:00:00,15.83,57204.67,33881.0225
2015-01-10 13:00:00,14.85,55645935,33599007
2015-01-10 14:00:00,11.42,54834.0975,32908.0925
2015-01-10 15:00:00,11.34,53908.7125,31729.42675
2015-01-10 16:00:00,14.15,55688.1825,30724.87325
2015-01-10 17:00:00,17.09,58009.3325,30122836
2015-01-10 18:00:00,18.87,58348.5275,29772.57025
2015-01-10 19:00:00,13.44,56279.6225,29322.88525
2015-01-10 20:00:00,15.82,52930865,28535.7275
2015-01-10 21:00:00,11.51,50829015,27742.52
2015-01-10 22:00:00,11.81,50419.4275,27004.08
2015-01-10 23:00:00,5.08,48050.0275,26310.93
2015-01-11 00:00:00,0.05,45123.9775,26352.92525
2015-01-11 01:00:00,-2.06,42726.06,26646.6295
2015-01-11 02:00:00,-4.11,41490.3375,26775.74125
2015-01-11 03:00:00,-5.06,41679985,26744.24425
2015-01-11 04:00:00,-4.12,41888965,26937.41325
2015-01-11 05:00:00,-0.74,41742515,27133.5035
2015-01-11 06:00:00,-25.02,41097.65,27309.75825
2015-01-11 07:00:00,-16.94,42868255,27591654
2015-01-11 08:00:00,-6.86,45536885,28175.84725
2015-01-11 09:00:00,1.53,48478.94,29558.701999999997
2015-01-11 10:00:00,5.61,50667815,31408.47175
2015-01-11 11:00:00,9.91,53164.7375,33030372
2015-01-11 12:00:00,8.71,53106825,33815.13325
2015-01-11 13:00:00,-0.09,51107.5625,33797397
2015-01-11 14:00:00,-0.07,49639.33,32562.95375
2015-01-11 15:00:00,-1.8,49314.7475,30780.642499999998
2015-01-11 16:00:00,0.61,50397125,29601.57575
2015-01-11 17:00:00,13.51,54905.8375,29360.013750000002
2015-01-11 18:00:00,11.44,56457.6575,29291.68675
2015-01-11 19:00:00,14.88,55327.1275,29106.03575
2015-01-11 20:00:00,9.63,52497.9825,29009.2425
2015-01-11 21:00:00,9.29,50954.44,29185045
2015-01-11 22:00:00,10.18,50990.3725,29395.11
2015-01-11 23:00:00,-2.0,48127.1625,29479745
2015-01-12 00:00:00,9.3,45185.0475,28482.9245
2015-01-12 01:00:00,2.87,43427675,27272.51175
2015-01-12 02:00:00,0.09,42625.39,26795.68125
2015-01-12 03:00:00,0.26,42934265,26446.50525
2015-01-12 04:00:00,2.83,44453125,26349.42975
2015-01-12 05:00:00,10.4,47842615,26511133
2015-01-12 06:00:00,20.03,55431.9575,26845.57825
2015-01-12 07:00:00,44.95,61972.2525,27333.72425
2015-01-12 08:00:00,44.92,65053.75,27995.04375
2015-01-12 09:00:00,36.33,65964.24,29197.092249999998
2015-01-12 10:00:00,30.41,67170265,30726797
2015-01-12 11:00:00,30.07,68290.1125,32089.26875
2015-01-12 12:00:00,29.33,68444.0175,32644.1305
2015-01-12 13:00:00,29.39,67317.9525,32441201
2015-01-12 14:00:00,28.98,65433.0575,31773943
2015-01-12 15:00:00,29.49,66377.0875,30742.787249999998
2015-01-12 16:00:00,28.99,66108.6725,29799.28325
2015-01-12 17:00:00,34.41,68752325,29353.45075
2015-01-12 18:00:00,31.69,68890.63,29076.9965
2015-01-12 19:00:00,29.59,67173.08,28437.4415
2015-01-12 20:00:00,27.61,62977375,27585.2975
2015-01-12 21:00:00,15.55,59797.3875,26728095
2015-01-12 22:00:00,14.91,56882.22,25766825
2015-01-12 23:00:00,9.1,51716145,24733.8725
2015-01-13 00:00:00,9.27,47575.2025,23846.6045
2015-01-13 01:00:00,10.42,46713.8725,22357.6065
2015-01-13 02:00:00,11.16,45718.9525,22133.7935
2015-01-13 03:00:00,10.71,45932275,22392851
2015-01-13 04:00:00,11.26,47249.2675,22949.87825
2015-01-13 05:00:00,11.69,50146.88,23469.49425
2015-01-13 06:00:00,21.05,56157.6525,23753.0765
2015-01-13 07:00:00,32.37,62086.8075,23736.62825
2015-01-13 08:00:00,34.21,64632.43,24009.89575
2015-01-13 09:00:00,28.47,65267.4875,26964.408499999998
2015-01-13 10:00:00,26.07,66078.5675,30516.8345
2015-01-13 11:00:00,23.74,67010.5725,32820.56675
2015-01-13 12:00:00,23.73,66879.6425,33126.9045
2015-01-13 13:00:00,23.76,65844315,31571042
2015-01-13 14:00:00,25.62,63215.68,28484.937749999997
2015-01-13 15:00:00,28.91,64523675,24461.32075
2015-01-13 16:00:00,34.13,64840.69,21341.8875
2015-01-13 17:00:00,42.16,68030.45,20136.88425
2015-01-13 18:00:00,41.99,68682635,19499.2945
2015-01-13 19:00:00,37.91,66243.4975,18717017
2015-01-13 20:00:00,31.41,61807925,17974.3375
2015-01-13 21:00:00,29.91,58761.2475,17253235
2015-01-13 22:00:00,27.02,56500.3725,16639.4525
2015-01-13 23:00:00,18.36,51583.2375,16018.82
2015-01-14 00:00:00,13.25,50246.4225,16029474
2015-01-14 01:00:00,15.02,47777.71,18493.55225
2015-01-14 02:00:00,11.99,46680.7775,17877.7
2015-01-14 03:00:00,13.68,46849.2025,17487.05
2015-01-14 04:00:00,13.91,48860.78,17348.06825
2015-01-14 05:00:00,16.26,52102.4775,17884.68975
2015-01-14 06:00:00,27.32,59131.57,18471.23225
2015-01-14 07:00:00,31.62,65867.7625,19025.2045
2015-01-14 08:00:00,34.74,68374.7525,19402.74275
2015-01-14 09:00:00,32.41,68459095,20813.662249999998
2015-01-14 10:00:00,29.71,68994405,22704.40675
2015-01-14 11:00:00,30.32,70212.3,23791.213750000003
2015-01-14 12:00:00,29.7,69339.65,23977.792500000003
2015-01-14 13:00:00,29.28,68221.6775,22363.289249999998
2015-01-14 14:00:00,30.63,67329625,19358.2395
2015-01-14 15:00:00,35.61,66975.5325,16538.228750000002
2015-01-14 16:00:00,37.8,67025.7175,14973.62025
2015-01-14 17:00:00,44.69,69573.5125,14448.53425
2015-01-14 18:00:00,43.23,69717.7475,14711455
2015-01-14 19:00:00,34.51,68796.6425,15043.78425
2015-01-14 20:00:00,29.44,64870175,15270.98
2015-01-14 21:00:00,27.96,61400.0325,15546.86
2015-01-14 22:00:00,23.73,58749225,15783.28
2015-01-14 23:00:00,16.29,53886045,15923.08
2015-01-15 00:00:00,24.36,50516.5325,15421.66925
2015-01-15 01:00:00,21.59,48246775,15039.05925
2015-01-15 02:00:00,15.46,47151185,15384.35
2015-01-15 03:00:00,15.44,47446.5625,16301.67775
2015-01-15 04:00:00,15.43,48710775,17784.2025
2015-01-15 05:00:00,15.47,51747.04,19723.7415
2015-01-15 06:00:00,27.69,58070.8375,21718366
2015-01-15 07:00:00,33.89,66065235,23476.65775
2015-01-15 08:00:00,34.79,69232485,25057.94
2015-01-15 09:00:00,30.9,69457.4425,26878.31425
2015-01-15 10:00:00,29.97,70319.1975,28652.1995
2015-01-15 11:00:00,29.42,71468965,29874.53325
2015-01-15 12:00:00,27.02,70610.37,30335.22525
2015-01-15 13:00:00,26.18,68416905,30040.888000000003
2015-01-15 14:00:00,26.53,67208955,29083.8035
2015-01-15 15:00:00,28.21,67023.4575,27485.99425
2015-01-15 16:00:00,29.37,67436535,26249393
2015-01-15 17:00:00,32.54,69920.9775,25782.1385
2015-01-15 18:00:00,32.67,69763.0775,25291.4285
2015-01-15 19:00:00,30.49,67808.6975,24443.1975
2015-01-15 20:00:00,28.32,63502.7025,23530635
2015-01-15 21:00:00,22.05,60057.98,22770.7925
2015-01-15 22:00:00,19.01,57785.07,21996.6475
2015-01-15 23:00:00,12.01,53282.8475,21357.0125
2015-01-16 00:00:00,9.78,48985.8925,21341.07325
2015-01-16 01:00:00,11.64,47572.6325,21837.9595
2015-01-16 02:00:00,9.72,46611.0925,21097.4905
2015-01-16 03:00:00,10.56,46974.49,20195.32825
2015-01-16 04:00:00,14.11,48737315,19257376
2015-01-16 05:00:00,16.02,51631.6275,18406.5055
2015-01-16 06:00:00,24.71,58083.3325,17433.45825
2015-01-16 07:00:00,34.04,65676.1,16322.146250000002
2015-01-16 08:00:00,37.71,68677.6275,15391.6235
2015-01-16 09:00:00,36.92,68773845,15547.49275
2015-01-16 10:00:00,37.99,69188.89,16203.19875
2015-01-16 11:00:00,39.97,70330615,16194.48625
2015-01-16 12:00:00,39.95,69097.89,15025.0045
2015-01-16 13:00:00,40.02,66585435,12760.242750000001
2015-01-16 14:00:00,41.83,65771805,10046.2745
2015-01-16 15:00:00,44.05,65504.0075,7204.99425
2015-01-16 16:00:00,47.1,65842.1175,5159.83125
2015-01-16 17:00:00,52.49,68543395,4463.5287499999995
2015-01-16 18:00:00,53.54,68682.9725,4188109
2015-01-16 19:00:00,48.02,66220345,3965.42475
2015-01-16 20:00:00,41.51,62129.57,3764435
2015-01-16 21:00:00,37.92,57963.1875,3608.63
2015-01-16 22:00:00,35.64,55038025,3458.72
2015-01-16 23:00:00,28.79,52542.1875,3312075
2015-01-17 00:00:00,29.03,49195.63,6444296
2015-01-17 01:00:00,27.47,47607.0275,7292.05325
2015-01-17 02:00:00,28.06,46093.8875,7231.03075
2015-01-17 03:00:00,27.92,45942.5275,7282392
2015-01-17 04:00:00,27.05,46530.9325,7398.47875
2015-01-17 05:00:00,27.24,46256105,7534.13225
2015-01-17 06:00:00,27.34,47449.7975,7735.23625
2015-01-17 07:00:00,27.74,51215.89,7951.4375
2015-01-17 08:00:00,29.73,54927.2875,8308.33925
2015-01-17 09:00:00,35.05,57348.0625,9590.20925
2015-01-17 10:00:00,38.81,58593.19,11417.774000000001
2015-01-17 11:00:00,38.89,59897.4225,12839.163499999999
2015-01-17 12:00:00,34.99,58974.6075,13612.54775
2015-01-17 13:00:00,31.96,57177.2725,13475735
2015-01-17 14:00:00,30.07,55839.5275,12419637
2015-01-17 15:00:00,31.27,54703625,10658.54475
2015-01-17 16:00:00,33.84,56193.81,9373.3445
2015-01-17 17:00:00,42.44,58905.4275,9334.6555
2015-01-17 18:00:00,44.9,60005.4275,9776.16
2015-01-17 19:00:00,34.24,58379.2975,10048.95425
2015-01-17 20:00:00,28.95,54706.8325,10310.9
2015-01-17 21:00:00,27.02,52522.3025,10755.3525
2015-01-17 22:00:00,27.46,52240.9425,11053.44
2015-01-17 23:00:00,24.5,49333.3025,11208095
2015-01-18 00:00:00,23.35,45897.7975,8713.480749999999
2015-01-18 01:00:00,21.19,43534.58,8120.89525
2015-01-18 02:00:00,22.24,42248.9325,8318154
2015-01-18 03:00:00,22.31,42612.7925,8468.984499999999
2015-01-18 04:00:00,22.32,43020.9275,8550.48975
2015-01-18 05:00:00,22.11,42901.73,8536.83625
2015-01-18 06:00:00,14.12,42405.77,8426.25
2015-01-18 07:00:00,15.17,44223.9575,8257679
2015-01-18 08:00:00,19.07,47172.2,8256.24375
2015-01-18 09:00:00,24.94,50273.75,9689.835500000001
2015-01-18 10:00:00,27.2,52753185,11618.686249999999
2015-01-18 11:00:00,28.22,55079.4425,12916974
2015-01-18 12:00:00,28.15,54972.1475,12995827
2015-01-18 13:00:00,27.85,53126.34,11855.5635
2015-01-18 14:00:00,28.17,51698435,9523.63625
2015-01-18 15:00:00,29.91,51324.1925,6527.2035
2015-01-18 16:00:00,30.44,52131375,4215.64525
2015-01-18 17:00:00,38.42,56862.81,3809.4117499999998
2015-01-18 18:00:00,42.46,58676.6975,3929.43675
2015-01-18 19:00:00,39.8,57651.3875,3983.56775
2015-01-18 20:00:00,30.54,54533.5825,3883.2075
2015-01-18 21:00:00,30.4,52814375,3736.61
2015-01-18 22:00:00,31.0,53122.6825,3507495
2015-01-18 23:00:00,28.42,50060.2475,3189.3125
2015-01-19 00:00:00,27.92,46654.6025,2710201
2015-01-19 01:00:00,27.76,44912.0025,2709475
2015-01-19 02:00:00,28.25,44047.64,2473492
2015-01-19 03:00:00,28.41,44206.6925,2260.53425
2015-01-19 04:00:00,28.07,45746.57,2077134
2015-01-19 05:00:00,29.63,49104485,1983.34475
2015-01-19 06:00:00,42.87,57709.03,1959.74425
2015-01-19 07:00:00,52.07,65059.6575,1995.55925
2015-01-19 08:00:00,56.49,67943325,2390.3647499999997
2015-01-19 09:00:00,52.38,68221.6325,4229359
2015-01-19 10:00:00,48.84,69530.2025,6375.63875
2015-01-19 11:00:00,47.95,70315.3025,7772.6845
2015-01-19 12:00:00,44.97,69890685,8037688
2015-01-19 13:00:00,47.95,68226.3975,7118.6905
2015-01-19 14:00:00,47.72,67647095,5251.4490000000005
2015-01-19 15:00:00,47.43,67614.6125,3186.56225
2015-01-19 16:00:00,48.19,67162.5675,1884379
2015-01-19 17:00:00,52.16,69321.7725,1838.4075
2015-01-19 18:00:00,56.26,70118.93,2032.2605
2015-01-19 19:00:00,52.96,68591805,2052.83675
2015-01-19 20:00:00,45.0,64674655,1995.5375
2015-01-19 21:00:00,40.0,61619.35,1917285
2015-01-19 22:00:00,37.53,58391.7825,1714.9675
2015-01-19 23:00:00,31.07,53210.2075,1547.29
2015-01-20 00:00:00,31.93,49464.47,1354.1565
2015-01-20 01:00:00,31.08,48207.7625,1088042
2015-01-20 02:00:00,29.92,47127.7225,1007.37675
2015-01-20 03:00:00,29.97,47193.79,947.2495
2015-01-20 04:00:00,31.02,48149.1675,905.92875
2015-01-20 05:00:00,34.81,50658075,908656
2015-01-20 06:00:00,39.4,58080.6875,929.54175
2015-01-20 07:00:00,53.39,64908.15,900.64875
2015-01-20 08:00:00,58.88,67257.6725,1000.6972499999999
2015-01-20 09:00:00,58.8,67398565,1660.3695
2015-01-20 10:00:00,57.34,68364.1375,2788359
2015-01-20 11:00:00,57.46,68885.5425,3716.7210000000005
2015-01-20 12:00:00,53.53,68402.86,4132.963250000001
2015-01-20 13:00:00,52.93,67520.1,3957.1375
2015-01-20 14:00:00,52.38,65345615,3105.3115
2015-01-20 15:00:00,52.1,65355845,1842.2839999999999
2015-01-20 16:00:00,51.04,65148.1875,1004492
2015-01-20 17:00:00,58.55,68081.5175,886.7420000000001
2015-01-20 18:00:00,66.65,69041.6225,1038.15125
2015-01-20 19:00:00,56.02,67834335,1164443
2015-01-20 20:00:00,50.01,64030.2625,1265.5125
2015-01-20 21:00:00,42.73,60753615,1349.1825
2015-01-20 22:00:00,42.02,57965055,1401.17
2015-01-20 23:00:00,36.93,52305065,1435.6475
2015-01-21 00:00:00,31.08,49551.65,1280.47725
2015-01-21 01:00:00,32.07,47266.39,1564.5210000000002
2015-01-21 02:00:00,31.53,46369025,1549.53225
2015-01-21 03:00:00,31.2,46630.78,1563763
2015-01-21 04:00:00,33.27,47866.4775,1546.3385
2015-01-21 05:00:00,35.07,50910.8325,1540.71525
2015-01-21 06:00:00,43.71,58404.8625,1540.4635
2015-01-21 07:00:00,54.12,65063.3825,1575.97675
2015-01-21 08:00:00,58.39,67490.9975,1986.50475
2015-01-21 09:00:00,56.6,67635.4775,4109361
2015-01-21 10:00:00,54.96,68445675,6908.813749999999
2015-01-21 11:00:00,53.99,69201.8575,9106.46025
2015-01-21 12:00:00,48.49,68948.6675,10000.75575
2015-01-21 13:00:00,49.59,67912.05,9474.97175
2015-01-21 14:00:00,48.0,66529.8725,7682.037499999999
